Nowe oferty od A do F	PL	ENG		Region	WYBIERZ	Merchant name	Start date	Średnia ilosc paczek 2022	Średnia ilosc paczek od 1-9 2023	Status 2022	Status 10.2023	Reve	Pierwszy produkt w paczce	Ile miesięcy	Waluta	Region			Koszty per pozycja	PL	PL	PL	INT	INT	INT	Razem: Suma z WARTOŚC PLN bez produktu V3	Razem: Suma z ILOSC V2 (ujednolicone magazynowanie)	Razem: Suma z SREDNIA V3			PL	EUR	Arkusze z raportu	Koszty per klient	Pozycja V4	Średnia wartość w 06'-09'23 PLN	Średnie wystąpienia w 06'-09'23	Key	Ilosc				Etykiety wierszy	Suma z Liczba SKU (SUMA z okresów 06'-09')				Key	Master reve (średnia ważona 06'-09')					Key	Logo	Tech	Stary próg	Cena	Nowy próg	Tomek			2drink	6,1			SYMBOL 	NAZWA POLSKA	NAZWA ANGIELSKA	SYMBOL 	Strefa	KRAJ	STREFA			Oferty	Score			Logo	Kod	Typ	Pozycja	Ilosc		DACH	FULL CARRIER PRICE LIST	COUNTRY - CARRIER - WEIGHT	NEW RATE	8		PLN	1			Poprzedni poziom oferty	Nowy poziom oferty
																																		LaRose	obsługa paczek - 04 próg	9034	5965	=AI1855&AJ1855	=AL1855																																																										
																																		LEVANN	obsługa paczek - 04 próg	7854	4269	=AI1856&AJ1856	=AL1856																																																										
																																		MyBasic	obsługa paczek - 04 próg	10755	4697	=AI1857&AJ1857	=AL1857																																																										
																																		OrganizerS	obsługa paczek - 04 próg	2804	464	=AI1858&AJ1858	=AL1858																																																										
																																		LaManiaFas	obsługa paczek - 05 próg	14923	7140	=AI1859&AJ1859	=AL1859																																																										
																																		MyBasic	obsługa paczek - 05 próg	12865	6465	=AI1860&AJ1860	=AL1860																																																										
																																		ComfortCli	obsługa paczek - 06 próg	32986	18726	=AI1861&AJ1861	=AL1861																																																										
																																		ChLauPL	obsługa paczek - 07 próg	1	1	=AI1862&AJ1862	=AL1862																																																										
																																		ComfortCli	obsługa paczek - 07 próg	31997	21136	=AI1863&AJ1863	=AL1863																																																										
																																		EvelineINT	obsługa paczek - 07 próg	927	631	=AI1864&AJ1864	=AL1864																																																										
																																		EvelinePL	obsługa paczek - 07 próg	34643	23567	=AI1865&AJ1865	=AL1865																																																										
																																		WeAreWild	obsługa paczek - 09 próg	79320	53407	=AI1866&AJ1866	=AL1866																																																										
																																		Brothers	old->Opiekun Merchanta [paczka]	21	25	=AI1867&AJ1867	=AL1867																																																										
																																		DanielWell	old->Opiekun Merchanta [paczka]	25	28	=AI1868&AJ1868	=AL1868																																																										
																																		DrZdrowie	old->Opiekun Merchanta [paczka]	2	2	=AI1869&AJ1869	=AL1869																																																										
																																		Gemlook	old->Opiekun Merchanta [paczka]	5	6	=AI1870&AJ1870	=AL1870																																																										
																																		Ahojbaby	każde opakowanie zbiorcze [inner]	4	3	=AI1871&AJ1871	=AL1871																																																										
																																		Australian	każde opakowanie zbiorcze [inner]	22	13	=AI1872&AJ1872	=AL1872																																																										
																																		Bizuu	każde opakowanie zbiorcze [inner]	135	91	=AI1873&AJ1873	=AL1873																																																										
																																		Brothers	każde opakowanie zbiorcze [inner]	58	41	=AI1874&AJ1874	=AL1874																																																										
																																		ComfortCli	każde opakowanie zbiorcze [inner]	194	136	=AI1875&AJ1875	=AL1875																																																										
																																		EvelinePL	każde opakowanie zbiorcze [inner]	10	8	=AI1876&AJ1876	=AL1876																																																										
																																		Foxyband	każde opakowanie zbiorcze [inner]	2	1	=AI1877&AJ1877	=AL1877																																																										
																																		GlobDesign	każde opakowanie zbiorcze [inner]	86	60	=AI1878&AJ1878	=AL1878																																																										
																																		Himalaya	każde opakowanie zbiorcze [inner]	47	26	=AI1879&AJ1879	=AL1879																																																										
																																		HunterGath	każde opakowanie zbiorcze [inner]	222	127	=AI1880&AJ1880	=AL1880																																																										
																																		KMA	każde opakowanie zbiorcze [inner]	116	76	=AI1881&AJ1881	=AL1881																																																										
																																		LaManiaFas	każde opakowanie zbiorcze [inner]	12	8	=AI1882&AJ1882	=AL1882																																																										
																																		LEVANN	każde opakowanie zbiorcze [inner]	7716	11182	=AI1883&AJ1883	=AL1883																																																										
																																		Mercator	każde opakowanie zbiorcze [inner]	1667	1113	=AI1884&AJ1884	=AL1884																																																										
																																		Moonka	każde opakowanie zbiorcze [inner]	3	2	=AI1885&AJ1885	=AL1885																																																										
																																		Nikalab	każde opakowanie zbiorcze [inner]	19	13	=AI1886&AJ1886	=AL1886																																																										
																																		Nordic	każde opakowanie zbiorcze [inner]	1153	735	=AI1887&AJ1887	=AL1887																																																										
																																		OrganizerS	każde opakowanie zbiorcze [inner]	49	27	=AI1888&AJ1888	=AL1888																																																										
																																		Orientana	każde opakowanie zbiorcze [inner]	456	307	=AI1889&AJ1889	=AL1889																																																										
																																		Ralls	każde opakowanie zbiorcze [inner]	47	47	=AI1890&AJ1890	=AL1890																																																										
																																		Sablier	każde opakowanie zbiorcze [inner]	2	2	=AI1891&AJ1891	=AL1891																																																										
																																		WeAreWild	każde opakowanie zbiorcze [inner]	3193	30	=AI1892&AJ1892	=AL1892																																																										
																																		2drink	Usługa pakowania [paczka]	415	799	=AI1893&AJ1893	=AL1893																																																										
																																		ArtWorks	Usługa pakowania [paczka]	1208	608	=AI1894&AJ1894	=AL1894																																																										
																																		Australian	Usługa pakowania [paczka]	5852	4490	=AI1895&AJ1895	=AL1895																																																										
																																		BilligVent	Usługa pakowania [paczka]	1015	330	=AI1896&AJ1896	=AL1896																																																										
																																		Bizuu	Usługa pakowania [paczka]	1572	2665	=AI1897&AJ1897	=AL1897																																																										
																																		CancerFree	Usługa pakowania [paczka]	9	16	=AI1898&AJ1898	=AL1898																																																										
																																		ChLauPL	Usługa pakowania [paczka]	0	1	=AI1899&AJ1899	=AL1899																																																										
																																		ComfortCli	Usługa pakowania [paczka]	11997	20533	=AI1900&AJ1900	=AL1900																																																										
																																		Darter180	Usługa pakowania [paczka]	28	39	=AI1901&AJ1901	=AL1901																																																										
																																		EvelineINT	Usługa pakowania [paczka]	141	536	=AI1902&AJ1902	=AL1902																																																										
																																		EvelinePL	Usługa pakowania [paczka]	4478	23567	=AI1903&AJ1903	=AL1903																																																										
																																		Fielmann	Usługa pakowania [paczka]	2437	1950	=AI1904&AJ1904	=AL1904																																																										
																																		FielmannCZ	Usługa pakowania [paczka]	397	318	=AI1905&AJ1905	=AL1905																																																										
																																		Foxyband	Usługa pakowania [paczka]	102	153	=AI1906&AJ1906	=AL1906																																																										
																																		FPBrand	Usługa pakowania [paczka]	1711	1880	=AI1907&AJ1907	=AL1907																																																										
																																		GlobDesign	Usługa pakowania [paczka]	214	231	=AI1908&AJ1908	=AL1908																																																										
																																		Gugu	Usługa pakowania [paczka]	355	3939	=AI1909&AJ1909	=AL1909																																																										
																																		Himalaya	Usługa pakowania [paczka]	2237	1689	=AI1910&AJ1910	=AL1910																																																										
																																		HomeSpot	Usługa pakowania [paczka]	511	786	=AI1911&AJ1911	=AL1911																																																										
																																		HunterGath	Usługa pakowania [paczka]	11	15	=AI1912&AJ1912	=AL1912																																																										
																																		Jemyzdrowo	Usługa pakowania [paczka]	108	300	=AI1913&AJ1913	=AL1913																																																										
																																		Kiekkotorn	Usługa pakowania [paczka]	120	172	=AI1914&AJ1914	=AL1914																																																										
																																		Klarta	Usługa pakowania [paczka]	1291	1987	=AI1915&AJ1915	=AL1915																																																										
																																		KrolestwoD	Usługa pakowania [paczka]	830	1408	=AI1916&AJ1916	=AL1916																																																										
																																		LaMania	Usługa pakowania [paczka]	3362	1367	=AI1917&AJ1917	=AL1917																																																										
																																		LaManiaFas	Usługa pakowania [paczka]	11772	5164	=AI1918&AJ1918	=AL1918																																																										
																																		LaRose	Usługa pakowania [paczka]	3281	5965	=AI1919&AJ1919	=AL1919																																																										
																																		LefleoPL	Usługa pakowania [paczka]	141	288	=AI1920&AJ1920	=AL1920																																																										
																																		LEVANN	Usługa pakowania [paczka]	639	1781	=AI1921&AJ1921	=AL1921																																																										
																																		Longvadon	Usługa pakowania [paczka]	261	106	=AI1922&AJ1922	=AL1922																																																										
																																		Mirakulina	Usługa pakowania [paczka]	41	71	=AI1923&AJ1923	=AL1923																																																										
																																		MonteNativ	Usługa pakowania [paczka]	17	49	=AI1924&AJ1924	=AL1924																																																										
																																		Moonka	Usługa pakowania [paczka]	199	214	=AI1925&AJ1925	=AL1925																																																										
																																		MyBasic	Usługa pakowania [paczka]	2518	5139	=AI1926&AJ1926	=AL1926																																																										
																																		Nikalab	Usługa pakowania [paczka]	2138	2546	=AI1927&AJ1927	=AL1927																																																										
																																		Nordic	Usługa pakowania [paczka]	859	1274	=AI1928&AJ1928	=AL1928																																																										
																																		Olsen	Usługa pakowania [paczka]	3726	1628	=AI1929&AJ1929	=AL1929																																																										
																																		PanPablo	Usługa pakowania [paczka]	671	584	=AI1930&AJ1930	=AL1930																																																										
																																		Ralls	Usługa pakowania [paczka]	64	108	=AI1931&AJ1931	=AL1931																																																										
																																		Sablier	Usługa pakowania [paczka]	1561	908	=AI1932&AJ1932	=AL1932																																																										
																																		Strumpi	Usługa pakowania [paczka]	99	147	=AI1933&AJ1933	=AL1933																																																										
																																		StudioMart	Usługa pakowania [paczka]	1011	371	=AI1934&AJ1934	=AL1934																																																										
																																		SugarFree	Usługa pakowania [paczka]	227	250	=AI1935&AJ1935	=AL1935																																																										
																																		TPV	Usługa pakowania [paczka]	419	613	=AI1936&AJ1936	=AL1936																																																										
																																		VandaNowak	Usługa pakowania [paczka]	881	592	=AI1937&AJ1937	=AL1937																																																										
																																		WeAreWild	Usługa pakowania [paczka]	7211	53407	=AI1938&AJ1938	=AL1938																																																										
																																		2drink	Opłata za materiały opakowaniowe [paczka]	1038	799	=AI1939&AJ1939	=AL1939																																																										
																																		Bizuu	Opłata za materiały opakowaniowe [paczka]	3783	2665	=AI1940&AJ1940	=AL1940																																																										
																																		DanielWell	Opłata za materiały opakowaniowe [paczka]	119	28	=AI1941&AJ1941	=AL1941																																																										
																																		Darter180	Opłata za materiały opakowaniowe [paczka]	73	39	=AI1942&AJ1942	=AL1942																																																										
																																		Gemlook	Opłata za materiały opakowaniowe [paczka]	3	6	=AI1943&AJ1943	=AL1943																																																										
																																		HomeSpot	Opłata za materiały opakowaniowe [paczka]	1116	786	=AI1944&AJ1944	=AL1944																																																										
																																		Klarta	Opłata za materiały opakowaniowe [paczka]	2821	1987	=AI1945&AJ1945	=AL1945																																																										
																																		MyBasic	Opłata za materiały opakowaniowe [paczka]	3716	3466	=AI1946&AJ1946	=AL1946																																																										
																																		MyButik	Opłata za materiały opakowaniowe [paczka]	469	671	=AI1947&AJ1947	=AL1947																																																										
																																		OrganizerS	Opłata za materiały opakowaniowe [paczka]	697	388	=AI1948&AJ1948	=AL1948																																																										
																																		Fielmann	Dopłata za pakowanie zamówienia z produktem z kategorii specjalnej (10)	2045	799	=AI1949&AJ1949	=AL1949																																																										
																																		FielmannCZ	Dopłata za pakowanie zamówienia z produktem z kategorii specjalnej (10)	440	172	=AI1950&AJ1950	=AL1950																																																										
																																		Fielmann	Dopłata za pakowanie zamówienia z produktem z kategorii specjalnej (20)	-zł	2583	=AI1951&AJ1951	=AL1951																																																										
																																		FielmannCZ	Dopłata za pakowanie zamówienia z produktem z kategorii specjalnej (20)	-zł	364	=AI1952&AJ1952	=AL1952																																																										
																																		GlobDesign	wydanie palety z magazynu	93	11	=AI1953&AJ1953	=AL1953																																																										
																																		KMA	wydanie palety z magazynu	25	3	=AI1954&AJ1954	=AL1954																																																										
																																		LEVANN	wydanie palety z magazynu	116	20	=AI1955&AJ1955	=AL1955																																																										
																																		Nordic	wydanie palety z magazynu	24	3	=AI1956&AJ1956	=AL1956																																																										
																																		Nordic	Opłata za materiały opakowaniowe - B2C [paczka]	1244	1107	=AI1957&AJ1957	=AL1957																																																										
																																		Coffeeness	old->Wycena paczek wg progów - próg 1	347	41	=AI1958&AJ1958	=AL1958																																																										
																																		ArtWorks	Obsługa przesyłki priorytetowej	20	4	=AI1959&AJ1959	=AL1959																																																										
																																		Australian	Obsługa przesyłki priorytetowej	13	2	=AI1960&AJ1960	=AL1960																																																										
																																		Barboza	Obsługa przesyłki priorytetowej	12	2	=AI1961&AJ1961	=AL1961																																																										
																																		Bizuu	Obsługa przesyłki priorytetowej	33	7	=AI1962&AJ1962	=AL1962																																																										
																																		EvelinePL	Obsługa przesyłki priorytetowej	5	1	=AI1963&AJ1963	=AL1963																																																										
																																		FPBrand	Obsługa przesyłki priorytetowej	7	1	=AI1964&AJ1964	=AL1964																																																										
																																		GlobDesign	Obsługa przesyłki priorytetowej	7	1	=AI1965&AJ1965	=AL1965																																																										
																																		Kiekkotorn	Obsługa przesyłki priorytetowej	6	1	=AI1966&AJ1966	=AL1966																																																										
																																		KrolestwoD	Obsługa przesyłki priorytetowej	25	5	=AI1967&AJ1967	=AL1967																																																										
																																		LaMania	Obsługa przesyłki priorytetowej	29	11	=AI1968&AJ1968	=AL1968																																																										
																																		LaManiaFas	Obsługa przesyłki priorytetowej	135	28	=AI1969&AJ1969	=AL1969																																																										
																																		LaRose	Obsługa przesyłki priorytetowej	5	1	=AI1970&AJ1970	=AL1970																																																										
																																		MyBasic	Obsługa przesyłki priorytetowej	127	27	=AI1971&AJ1971	=AL1971																																																										
																																		Nordic	Obsługa przesyłki priorytetowej	7	1	=AI1972&AJ1972	=AL1972																																																										
																																		Orientana	Obsługa przesyłki priorytetowej	8	2	=AI1973&AJ1973	=AL1973																																																										
																																		PanPablo	Obsługa przesyłki priorytetowej	7	2	=AI1974&AJ1974	=AL1974																																																										
																																		VandaNowak	Obsługa przesyłki priorytetowej	32	7	=AI1975&AJ1975	=AL1975																																																										
																																		WeAreWild	Obsługa przesyłki priorytetowej	9	2	=AI1976&AJ1976	=AL1976																																																										
																																		Barboza	każdy produkt w paczce [szt.]	1048	1231	=AI1977&AJ1977	=AL1977																																																										
																																		Brothers	każdy produkt w paczce [szt.]	19	28	=AI1978&AJ1978	=AL1978																																																										
																																		CieszeSie	każdy produkt w paczce [szt.]	1	1	=AI1979&AJ1979	=AL1979																																																										
																																		Coffeeness	każdy produkt w paczce [szt.]	237	214	=AI1980&AJ1980	=AL1980																																																										
																																		DanielWell	każdy produkt w paczce [szt.]	13	30	=AI1981&AJ1981	=AL1981																																																										
																																		Dax	każdy produkt w paczce [szt.]	909	3495	=AI1982&AJ1982	=AL1982																																																										
																																		DrZdrowie	każdy produkt w paczce [szt.]	4	5	=AI1983&AJ1983	=AL1983																																																										
																																		Gruo	każdy produkt w paczce [szt.]	2	3	=AI1984&AJ1984	=AL1984																																																										
																																		Himalaya	każdy produkt w paczce [szt.]	5883	5522	=AI1985&AJ1985	=AL1985																																																										
																																		KMA	każdy produkt w paczce [szt.]	233	324	=AI1986&AJ1986	=AL1986																																																										
																																		Mercator	każdy produkt w paczce [szt.]	6166	9975	=AI1987&AJ1987	=AL1987																																																										
																																		MyButik	każdy produkt w paczce [szt.]	190	329	=AI1988&AJ1988	=AL1988																																																										
																																		NuviaLab	każdy produkt w paczce [szt.]	60	71	=AI1989&AJ1989	=AL1989																																																										
																																		OrganizerS	każdy produkt w paczce [szt.]	79	132	=AI1990&AJ1990	=AL1990																																																										
																																		Osa	każdy produkt w paczce [szt.]	33	31	=AI1991&AJ1991	=AL1991																																																										
																																		Wicked	każdy produkt w paczce [szt.]	1087	995	=AI1992&AJ1992	=AL1992																																																										
																																		Forhumans	każdy produkt w paczce [szt.]	271	317	=AI1993&AJ1993	=AL1993																																																										
																																		SVRPolska	każdy produkt w paczce [szt.]	201	341	=AI1994&AJ1994	=AL1994																																																										
																																		Wunder	każdy produkt w paczce [szt.]	256	299	=AI1995&AJ1995	=AL1995																																																										
																																		Geberich	każdy produkt w paczce [szt.]	9821	11578	=AI1996&AJ1996	=AL1996																																																										
																																		Dax	old->każdy pierwszy produkt w paczce [szt.]	806	1466	=AI1997&AJ1997	=AL1997																																																										
																																		OrganizerS	old->każdy pierwszy produkt w paczce [szt.]	290	388	=AI1998&AJ1998	=AL1998																																																										
																																		ComfortCli	każdy produkt w paczce [szt.] grupa 1-a 0-bez kontroli produktu	424	278	=AI1999&AJ1999	=AL1999																																																										
																																		Fielmann	każdy produkt w paczce [szt.] grupa 1-a 0-bez kontroli produktu	647	820	=AI2000&AJ2000	=AL2000																																																										
																																		FielmannCZ	każdy produkt w paczce [szt.] grupa 1-a 0-bez kontroli produktu	156	197	=AI2001&AJ2001	=AL2001																																																										
																																		LaMania	każdy produkt w paczce [szt.] grupa 1-a 0-bez kontroli produktu	3123	1940	=AI2002&AJ2002	=AL2002																																																										
																																		LaMania	każdy produkt w paczce [szt.] grupa 1-a 1- z kontrolą produktu	1036	644	=AI2003&AJ2003	=AL2003																																																										
																																		ComfortCli	każdy produkt w paczce [szt.] grupa 2-b 0-bez kontroli produktu	3252	514	=AI2004&AJ2004	=AL2004																																																										
																																		Fielmann	każdy produkt w paczce [szt.] grupa 2-b 0-bez kontroli produktu	2607	3300	=AI2005&AJ2005	=AL2005																																																										
																																		FielmannCZ	każdy produkt w paczce [szt.] grupa 2-b 0-bez kontroli produktu	352	446	=AI2006&AJ2006	=AL2006																																																										
																																		LaMania	każdy produkt w paczce [szt.] grupa 2-b 0-bez kontroli produktu	3500	1667	=AI2007&AJ2007	=AL2007																																																										
																																		LaMania	każdy produkt w paczce [szt.] grupa 2-b 1-z kontrolą produktu	174	83	=AI2008&AJ2008	=AL2008																																																										
																																		ComfortCli	każdy produkt w paczce [szt.] grupa 3-c 0-bez kontroli produktu	17372	42962	=AI2009&AJ2009	=AL2009																																																										
																																		LaMania	każdy produkt w paczce [szt.] grupa 3-c 0-bez kontroli produktu	750	179	=AI2010&AJ2010	=AL2010																																																										
																																		LaMania	każdy produkt w paczce [szt.] grupa 3-c 1-z kontrolą produktu	4	1	=AI2011&AJ2011	=AL2011																																																										
																																		LaMania	każdy produkt w paczce [szt.] grupa 4-d 0-bez kontroli produktu	293	27	=AI2012&AJ2012	=AL2012																																																										
																																		Fielmann	Wydruk etykiety zwrotnej	507	1950	=AI2013&AJ2013	=AL2013																																																										
																																		FielmannCZ	Wydruk etykiety zwrotnej	83	318	=AI2014&AJ2014	=AL2014																																																										
																																		LaManiaFas	Wydruk etykiety zwrotnej	327	1129	=AI2015&AJ2015	=AL2015																																																										
																																	pakowanie_wsad_poprawny	Ahojbaby	Kontrola materiałów do pakowania [SKU/miesiąc]	138	2	=AI2016&AJ2016	=AL2016																																																										
																																		ArtWorks	Kontrola materiałów do pakowania [SKU/miesiąc]	466	7	=AI2017&AJ2017	=AL2017																																																										
																																		BilligVent	Kontrola materiałów do pakowania [SKU/miesiąc]	67	1	=AI2018&AJ2018	=AL2018																																																										
																																		Bizuu	Kontrola materiałów do pakowania [SKU/miesiąc]	1570	21	=AI2019&AJ2019	=AL2019																																																										
																																		EvelineINT	Kontrola materiałów do pakowania [SKU/miesiąc]	376	5	=AI2020&AJ2020	=AL2020																																																										
																																		EvelinePL	Kontrola materiałów do pakowania [SKU/miesiąc]	394	6	=AI2021&AJ2021	=AL2021																																																										
																																		FPBrand	Kontrola materiałów do pakowania [SKU/miesiąc]	564	6	=AI2022&AJ2022	=AL2022																																																										
																																		Himalaya	Kontrola materiałów do pakowania [SKU/miesiąc]	50	1	=AI2023&AJ2023	=AL2023																																																										
																																		HunterGath	Kontrola materiałów do pakowania [SKU/miesiąc]	297	3	=AI2024&AJ2024	=AL2024																																																										
																																		KMA	Kontrola materiałów do pakowania [SKU/miesiąc]	388	5	=AI2025&AJ2025	=AL2025																																																										
																																		KrolestwoD	Kontrola materiałów do pakowania [SKU/miesiąc]	519	7	=AI2026&AJ2026	=AL2026																																																										
																																		LaMania	Kontrola materiałów do pakowania [SKU/miesiąc]	392	8	=AI2027&AJ2027	=AL2027																																																										
																																		LaManiaFas	Kontrola materiałów do pakowania [SKU/miesiąc]	417	9	=AI2028&AJ2028	=AL2028																																																										
																																		LefleoPL	Kontrola materiałów do pakowania [SKU/miesiąc]	40	1	=AI2029&AJ2029	=AL2029																																																										
																																		MyBasic	Kontrola materiałów do pakowania [SKU/miesiąc]	319	5	=AI2030&AJ2030	=AL2030																																																										
																																		Nikalab	Kontrola materiałów do pakowania [SKU/miesiąc]	80	1	=AI2031&AJ2031	=AL2031																																																										
																																		Olsen	Kontrola materiałów do pakowania [SKU/miesiąc]	499	7	=AI2032&AJ2032	=AL2032																																																										
																																		OryxIsles	Kontrola materiałów do pakowania [SKU/miesiąc]	328	4	=AI2033&AJ2033	=AL2033																																																										
																																		Osa	Kontrola materiałów do pakowania [SKU/miesiąc]	101	1	=AI2034&AJ2034	=AL2034																																																										
																																		Sablier	Kontrola materiałów do pakowania [SKU/miesiąc]	352	4	=AI2035&AJ2035	=AL2035																																																										
																																		StudioMart	Kontrola materiałów do pakowania [SKU/miesiąc]	539	7	=AI2036&AJ2036	=AL2036																																																										
																																		SugarFree	Kontrola materiałów do pakowania [SKU/miesiąc]	160	2	=AI2037&AJ2037	=AL2037																																																										
																																		VandaNowak	Kontrola materiałów do pakowania [SKU/miesiąc]	85	1	=AI2038&AJ2038	=AL2038																																																										
																																		WeAreWild	Kontrola materiałów do pakowania [SKU/miesiąc]	2432	20	=AI2039&AJ2039	=AL2039																																																										
																																		Forhumans	Kontrola materiałów do pakowania [SKU/miesiąc]	324	4	=AI2040&AJ2040	=AL2040																																																										
																																		Wunder	Kontrola materiałów do pakowania [SKU/miesiąc]	161	2	=AI2041&AJ2041	=AL2041																																																										
																																		Gugu	old->Inne materiały do pakowania	329	1	=AI2042&AJ2042	=AL2042																																																										
																																		LEVANN	old->Inne materiały do pakowania	94	7	=AI2043&AJ2043	=AL2043																																																										
																																		EvelinePL	pakowanie: Folia bąbelkowa [1mb]	0	1	=AI2044&AJ2044	=AL2044																																																										
																																		GlobDesign	pakowanie: Folia bąbelkowa [1mb]	1	3	=AI2045&AJ2045	=AL2045																																																										
																																		KrolestwoD	pakowanie: Folia bąbelkowa [1mb]	1	3	=AI2046&AJ2046	=AL2046																																																										
																																		LaMania	pakowanie: Folia bąbelkowa [1mb]	7	13	=AI2047&AJ2047	=AL2047																																																										
																																		LaRose	pakowanie: Folia bąbelkowa [1mb]	0	1	=AI2048&AJ2048	=AL2048																																																										
																																		LEVANN	pakowanie: Folia bąbelkowa [1mb]	3	7	=AI2049&AJ2049	=AL2049																																																										
																																		Ahojbaby	pakowanie: Folia bąbelkowa [R50cm 1mb]	11	22	=AI2050&AJ2050	=AL2050																																																										
																																		ArtWorks	pakowanie: Folia bąbelkowa [R50cm 1mb]	0	1	=AI2051&AJ2051	=AL2051																																																										
																																		Australian	pakowanie: Folia bąbelkowa [R50cm 1mb]	413	765	=AI2052&AJ2052	=AL2052																																																										
																																		Barboza	pakowanie: Folia bąbelkowa [R50cm 1mb]	5	10	=AI2053&AJ2053	=AL2053																																																										
																																		BilligVent	pakowanie: Folia bąbelkowa [R50cm 1mb]	30	57	=AI2054&AJ2054	=AL2054																																																										
																																		Bizuu	pakowanie: Folia bąbelkowa [R50cm 1mb]	101	194	=AI2055&AJ2055	=AL2055																																																										
																																		Brothers	pakowanie: Folia bąbelkowa [R50cm 1mb]	28	48	=AI2056&AJ2056	=AL2056																																																										
																																		CancerFree	pakowanie: Folia bąbelkowa [R50cm 1mb]	4	8	=AI2057&AJ2057	=AL2057																																																										
																																		Coffeeness	pakowanie: Folia bąbelkowa [R50cm 1mb]	48	105	=AI2058&AJ2058	=AL2058																																																										
																																		ComfortCli	pakowanie: Folia bąbelkowa [R50cm 1mb]	513	1149	=AI2059&AJ2059	=AL2059																																																										
																																		Dax	pakowanie: Folia bąbelkowa [R50cm 1mb]	0	1	=AI2060&AJ2060	=AL2060																																																										
																																		EvelineINT	pakowanie: Folia bąbelkowa [R50cm 1mb]	43	107	=AI2061&AJ2061	=AL2061																																																										
																																		EvelinePL	pakowanie: Folia bąbelkowa [R50cm 1mb]	2709	6772	=AI2062&AJ2062	=AL2062																																																										
																																		Foxyband	pakowanie: Folia bąbelkowa [R50cm 1mb]	3	7	=AI2063&AJ2063	=AL2063																																																										
																																		FPBrand	pakowanie: Folia bąbelkowa [R50cm 1mb]	1	3	=AI2064&AJ2064	=AL2064																																																										
																																		GlobDesign	pakowanie: Folia bąbelkowa [R50cm 1mb]	7	15	=AI2065&AJ2065	=AL2065																																																										
																																		Gugu	pakowanie: Folia bąbelkowa [R50cm 1mb]	0	1	=AI2066&AJ2066	=AL2066																																																										
																																		Himalaya	pakowanie: Folia bąbelkowa [R50cm 1mb]	24	41	=AI2067&AJ2067	=AL2067																																																										
																																		HunterGath	pakowanie: Folia bąbelkowa [R50cm 1mb]	58	110	=AI2068&AJ2068	=AL2068																																																										
																																		Kiekkotorn	pakowanie: Folia bąbelkowa [R50cm 1mb]	0	1	=AI2069&AJ2069	=AL2069																																																										
																																		KMA	pakowanie: Folia bąbelkowa [R50cm 1mb]	0	1	=AI2070&AJ2070	=AL2070																																																										
																																		KrolestwoD	pakowanie: Folia bąbelkowa [R50cm 1mb]	608	1521	=AI2071&AJ2071	=AL2071																																																										
																																		LaMania	pakowanie: Folia bąbelkowa [R50cm 1mb]	1226	2190	=AI2072&AJ2072	=AL2072																																																										
																																		LaManiaFas	pakowanie: Folia bąbelkowa [R50cm 1mb]	158	283	=AI2073&AJ2073	=AL2073																																																										
																																		LaRose	pakowanie: Folia bąbelkowa [R50cm 1mb]	9	22	=AI2074&AJ2074	=AL2074																																																										
																																		LefleoPL	pakowanie: Folia bąbelkowa [R50cm 1mb]	3	8	=AI2075&AJ2075	=AL2075																																																										
																																		LEVANN	pakowanie: Folia bąbelkowa [R50cm 1mb]	1706	4264	=AI2076&AJ2076	=AL2076																																																										
																																		Longvadon	pakowanie: Folia bąbelkowa [R50cm 1mb]	1	3	=AI2077&AJ2077	=AL2077																																																										
																																		Mercator	pakowanie: Folia bąbelkowa [R50cm 1mb]	179	418	=AI2078&AJ2078	=AL2078																																																										
																																		Mirakulina	pakowanie: Folia bąbelkowa [R50cm 1mb]	0	1	=AI2079&AJ2079	=AL2079																																																										
																																		MonteNativ	pakowanie: Folia bąbelkowa [R50cm 1mb]	2	3	=AI2080&AJ2080	=AL2080																																																										
																																		NuviaLab	pakowanie: Folia bąbelkowa [R50cm 1mb]	0	1	=AI2081&AJ2081	=AL2081																																																										
																																		Olsen	pakowanie: Folia bąbelkowa [R50cm 1mb]	1	2	=AI2082&AJ2082	=AL2082																																																										
																																		Orientana	pakowanie: Folia bąbelkowa [R50cm 1mb]	7	15	=AI2083&AJ2083	=AL2083																																																										
																																		Osa	pakowanie: Folia bąbelkowa [R50cm 1mb]	0	1	=AI2084&AJ2084	=AL2084																																																										
																																		PanPablo	pakowanie: Folia bąbelkowa [R50cm 1mb]	2	6	=AI2085&AJ2085	=AL2085																																																										
																																		Ralls	pakowanie: Folia bąbelkowa [R50cm 1mb]	5	11	=AI2086&AJ2086	=AL2086																																																										
																																		Sablier	pakowanie: Folia bąbelkowa [R50cm 1mb]	3	6	=AI2087&AJ2087	=AL2087																																																										
																																		VandaNowak	pakowanie: Folia bąbelkowa [R50cm 1mb]	10	24	=AI2088&AJ2088	=AL2088																																																										
																																		WeAreWild	pakowanie: Folia bąbelkowa [R50cm 1mb]	7	14	=AI2089&AJ2089	=AL2089																																																										
																																		Wicked	pakowanie: Folia bąbelkowa [R50cm 1mb]	0	1	=AI2090&AJ2090	=AL2090																																																										
																																		SVRPolska	pakowanie: Folia bąbelkowa [R50cm 1mb]	1	2	=AI2091&AJ2091	=AL2091																																																										
																																		Wunder	pakowanie: Folia bąbelkowa [R50cm 1mb]	1	2	=AI2092&AJ2092	=AL2092																																																										
